user_id,timestamp,hour,water_ml,temperature,day,daily_total,day_of_week,is_weekend,past_hour_intake,avg_intake_so_far,time_diff,anomaly,anomaly_score
user1,2025-11-08 06:32:52.121669,6,120,22.94,0,120,5,1,185.45870206489676,120.0,0.0,1,-0.5200767238148851
user1,2025-11-08 07:32:18.121669,7,137,23.99,0,257,5,1,120.0,128.5,59.43333333333333,1,-0.4593036286826443
user1,2025-11-08 08:33:40.121669,8,176,21.02,0,433,5,1,137.0,144.33333333333334,61.36666666666667,1,-0.49266056926234264
user1,2025-11-08 09:16:12.121669,9,146,25.48,0,579,5,1,176.0,144.75,42.53333333333333,1,-0.4359713846859542
user1,2025-11-08 10:17:01.121669,10,232,24.88,0,811,5,1,146.0,162.2,60.81666666666667,1,-0.4326016135204906
user1,2025-11-08 11:23:31.121669,11,272,25.63,0,1083,5,1,232.0,180.5,66.5,1,-0.45227356089746157
user1,2025-11-08 12:17:52.121669,12,183,26.14,0,1266,5,1,272.0,180.85714285714286,54.35,1,-0.42702066253629634
user1,2025-11-08 13:44:01.121669,13,226,25.68,0,1492,5,1,183.0,186.5,86.15,1,-0.42962091196445673
user1,2025-11-08 19:01:23.121669,19,224,24.21,0,1716,5,1,226.0,190.66666666666666,317.3666666666667,-1,-0.584578616290899
user1,2025-11-08 20:50:48.121669,20,92,23.69,0,1808,5,1,224.0,180.8,109.41666666666667,1,-0.49364047738959455
user1,2025-11-09 06:33:58.121669,6,151,26.62,1,151,6,1,185.45870206489676,151.0,0.0,1,-0.46217864208712334
user1,2025-11-09 09:50:44.121669,9,218,30.69,1,369,6,1,151.0,184.5,196.76666666666668,1,-0.5314613683064808
user1,2025-11-09 13:55:01.121669,13,251,31.5,1,620,6,1,218.0,206.66666666666666,244.28333333333333,-1,-0.5700643307685802
user1,2025-11-09 14:35:32.121669,14,279,27.73,1,899,6,1,251.0,224.75,40.516666666666666,1,-0.460621595622861
user1,2025-11-09 17:31:33.121669,17,241,30.33,1,1140,6,1,279.0,228.0,176.01666666666668,1,-0.5059546582522678
user1,2025-11-09 18:23:48.121669,18,213,27.43,1,1353,6,1,241.0,225.5,52.25,1,-0.4316364894153677
user1,2025-11-09 20:43:16.121669,20,116,27.69,1,1469,6,1,213.0,209.85714285714286,139.46666666666667,1,-0.4869680930423107
user1,2025-11-09 21:18:18.121669,21,144,27.83,1,1613,6,1,116.0,201.625,35.03333333333333,1,-0.4614516058734215
user1,2025-11-10 06:26:51.121669,6,143,24.94,2,143,0,0,185.45870206489676,143.0,0.0,1,-0.47402804548109817
user1,2025-11-10 07:42:44.121669,7,173,27.03,2,316,0,0,143.0,158.0,75.88333333333334,1,-0.44191859606979256
user1,2025-11-10 08:00:23.121669,8,136,26.11,2,452,0,0,173.0,150.66666666666666,17.65,1,-0.46053830750231933
user1,2025-11-10 09:15:13.121669,9,172,26.03,2,624,0,0,136.0,156.0,74.83333333333333,1,-0.42238676412965026
user1,2025-11-10 10:20:09.121669,10,274,23.24,2,898,0,0,172.0,179.6,64.93333333333334,1,-0.47512442666009463
user1,2025-11-10 11:26:42.121669,11,207,24.5,2,1105,0,0,274.0,184.16666666666666,66.55,1,-0.4362902471499735
user1,2025-11-10 12:29:22.121669,12,157,25.64,2,1262,0,0,207.0,180.28571428571428,62.666666666666664,1,-0.42806835590849796
user1,2025-11-10 13:44:01.121669,13,246,26.94,2,1508,0,0,157.0,188.5,74.65,1,-0.42802070738608644
user1,2025-11-10 14:46:04.121669,14,185,21.99,2,1693,0,0,246.0,188.11111111111111,62.05,1,-0.47151737902480734
user1,2025-11-10 15:06:11.121669,15,298,26.82,2,1991,0,0,185.0,199.1,20.116666666666667,1,-0.5103501270728763
user1,2025-11-10 16:51:33.121669,16,258,24.61,2,2249,0,0,298.0,204.45454545454547,105.36666666666666,1,-0.4979283064984796
user1,2025-11-10 20:56:18.121669,20,145,24.91,2,2394,0,0,258.0,199.5,244.75,-1,-0.5524322432807623
user1,2025-11-10 21:20:21.121669,21,92,26.09,2,2486,0,0,145.0,191.23076923076923,24.05,1,-0.5212033934645575
user1,2025-11-10 22:37:41.121669,22,77,27.43,2,2563,0,0,92.0,183.07142857142858,77.33333333333333,-1,-0.5527097210869572
user1,2025-11-11 07:43:24.121669,7,98,26.68,3,98,1,0,185.45870206489676,98.0,0.0,1,-0.5146140496794402
user1,2025-11-11 10:31:06.121669,10,153,24.7,3,251,1,0,98.0,125.5,167.7,1,-0.49825671180304204
user1,2025-11-11 11:42:33.121669,11,203,26.39,3,454,1,0,153.0,151.33333333333334,71.45,1,-0.43188838124165857
user1,2025-11-11 12:19:10.121669,12,177,23.62,3,631,1,0,203.0,157.75,36.61666666666667,1,-0.44599440160608095
user1,2025-11-11 13:29:46.121669,13,246,24.92,3,877,1,0,177.0,175.4,70.6,1,-0.429649638069275
user1,2025-11-11 16:36:08.121669,16,217,26.24,3,1094,1,0,246.0,182.33333333333334,186.36666666666667,1,-0.48415008119665975
user1,2025-11-11 17:26:11.121669,17,238,22.85,3,1332,1,0,217.0,190.28571428571428,50.05,1,-0.45017772377206783
user1,2025-11-11 18:38:11.121669,18,217,24.35,3,1549,1,0,238.0,193.625,72.0,1,-0.42900577214590574
user1,2025-11-11 19:04:45.121669,19,197,27.89,3,1746,1,0,217.0,194.0,26.566666666666666,1,-0.45507912006956674
user1,2025-11-11 20:51:35.121669,20,130,26.96,3,1876,1,0,197.0,187.6,106.83333333333333,1,-0.4403315673905134
user1,2025-11-11 21:10:21.121669,21,118,24.22,3,1994,1,0,130.0,181.27272727272728,18.766666666666666,1,-0.49151211912826337
user1,2025-11-11 22:41:19.121669,22,94,22.49,3,2088,1,0,118.0,174.0,90.96666666666667,1,-0.5171184348467274
user1,2025-11-12 06:48:27.121669,6,166,22.23,4,166,2,0,185.45870206489676,166.0,0.0,1,-0.5105045058173199
user1,2025-11-12 07:05:28.121669,7,116,24.23,4,282,2,0,166.0,141.0,17.016666666666666,1,-0.4869551224697589
user1,2025-11-12 08:45:21.121669,8,108,22.35,4,390,2,0,116.0,130.0,99.88333333333334,1,-0.5233493315703883
user1,2025-11-12 09:19:31.121669,9,99,23.69,4,489,2,0,108.0,122.25,34.166666666666664,1,-0.5076223304700015
user1,2025-11-12 10:02:52.121669,10,215,25.28,4,704,2,0,99.0,140.8,43.35,1,-0.43505343459028833
user1,2025-11-12 11:59:31.121669,11,243,21.81,4,947,2,0,215.0,157.83333333333334,116.65,1,-0.48336222434026893
user1,2025-11-12 12:22:22.121669,12,179,26.39,4,1126,2,0,243.0,160.85714285714286,22.85,1,-0.448144878877129
user1,2025-11-12 13:17:22.121669,13,265,22.98,4,1391,2,0,179.0,173.875,55.0,1,-0.4609927442666755
user1,2025-11-12 14:42:30.121669,14,187,20.76,4,1578,2,0,265.0,175.33333333333334,85.13333333333334,1,-0.48377645758009374
user1,2025-11-12 15:07:05.121669,15,237,25.37,4,1815,2,0,187.0,181.5,24.583333333333332,1,-0.46220173052084845
user1,2025-11-12 16:04:03.121669,16,137,22.95,4,1952,2,0,237.0,177.45454545454547,56.96666666666667,1,-0.4686198334334925
user1,2025-11-12 18:17:45.121669,18,141,26.09,4,2093,2,0,137.0,174.41666666666666,133.7,1,-0.4821783895266297
user1,2025-11-12 19:23:51.121669,19,127,21.47,4,2220,2,0,141.0,170.76923076923077,66.1,1,-0.48081983148022245
user1,2025-11-12 22:08:03.121669,22,92,21.72,4,2312,2,0,127.0,165.14285714285714,164.2,-1,-0.5778259451476336
user1,2025-11-13 10:06:29.121669,10,190,30.3,5,190,3,0,185.45870206489676,190.0,0.0,1,-0.4974033582366517
user1,2025-11-13 11:49:56.121669,11,237,26.84,5,427,3,0,190.0,213.5,103.45,1,-0.4586335057688405
user1,2025-11-13 12:49:33.121669,12,186,27.3,5,613,3,0,237.0,204.33333333333334,59.61666666666667,1,-0.4292034784830171
user1,2025-11-13 13:37:49.121669,13,282,30.83,5,895,3,0,186.0,223.75,48.266666666666666,1,-0.47289325773074686
user1,2025-11-13 15:48:47.121669,15,280,29.4,5,1175,3,0,282.0,235.0,130.96666666666667,1,-0.4871959669128398
user1,2025-11-13 17:01:22.121669,17,242,28.64,5,1417,3,0,280.0,236.16666666666666,72.58333333333333,1,-0.4344149682562876
user1,2025-11-13 18:01:40.121669,18,182,26.26,5,1599,3,0,242.0,228.42857142857142,60.3,1,-0.42274187190328255
user1,2025-11-13 19:28:00.121669,19,164,26.81,5,1763,3,0,182.0,220.375,86.33333333333333,1,-0.4301975986113846
user1,2025-11-14 07:10:16.121669,7,111,22.8,6,111,4,0,185.45870206489676,111.0,0.0,1,-0.5246838104533517
user1,2025-11-14 08:58:12.121669,8,111,26.04,6,222,4,0,111.0,111.0,107.93333333333334,1,-0.5044293370675371
user1,2025-11-14 10:25:50.121669,10,198,25.64,6,420,4,0,111.0,140.0,87.63333333333334,1,-0.4378183245375699
user1,2025-11-14 11:03:45.121669,11,264,23.74,6,684,4,0,198.0,171.0,37.916666666666664,1,-0.46931881097167627
user1,2025-11-14 12:44:14.121669,12,191,21.91,6,875,4,0,264.0,175.0,100.48333333333333,1,-0.4618601634767915
user1,2025-11-14 13:18:38.121669,13,274,25.33,6,1149,4,0,191.0,191.5,34.4,1,-0.45453530410783627
user1,2025-11-14 14:10:57.121669,14,280,25.94,6,1429,4,0,274.0,204.14285714285714,52.31666666666667,1,-0.44786892164570064
user1,2025-11-14 15:26:02.121669,15,226,26.54,6,1655,4,0,280.0,206.875,75.08333333333333,1,-0.42198324070058507
user1,2025-11-14 16:16:32.121669,16,179,22.57,6,1834,4,0,226.0,203.77777777777777,50.5,1,-0.457423835933066
user1,2025-11-14 18:07:42.121669,18,243,20.67,6,2077,4,0,179.0,207.7,111.16666666666667,-1,-0.5389347206805115
user1,2025-11-14 19:50:49.121669,19,161,24.42,6,2238,4,0,243.0,203.45454545454547,103.11666666666666,1,-0.4646314143702037
user1,2025-11-14 20:52:23.121669,20,109,22.72,6,2347,4,0,161.0,195.58333333333334,61.56666666666667,1,-0.4951109897314246
user1,2025-11-14 21:23:37.121669,21,131,24.29,6,2478,4,0,109.0,190.6153846153846,31.233333333333334,1,-0.4914737290223137
user1,2025-11-14 22:45:52.121669,22,104,21.55,6,2582,4,0,131.0,184.42857142857142,82.25,-1,-0.5443537939703718
user1,2025-11-15 07:25:21.121669,7,159,27.54,7,159,5,1,185.45870206489676,159.0,0.0,1,-0.44648533888875924
user1,2025-11-15 09:50:30.121669,9,205,28.33,7,364,5,1,159.0,182.0,145.15,1,-0.47438844216628123
user1,2025-11-15 10:58:30.121669,10,245,29.17,7,609,5,1,205.0,203.0,68.0,1,-0.4356246211260215
user1,2025-11-15 13:22:46.121669,13,246,28.32,7,855,5,1,245.0,213.75,144.26666666666668,1,-0.47271515579019496
user1,2025-11-15 14:35:54.121669,14,165,28.05,7,1020,5,1,246.0,204.0,73.13333333333334,1,-0.42072928762711187
user1,2025-11-15 16:08:46.121669,16,229,26.78,7,1249,5,1,165.0,208.16666666666666,92.86666666666666,1,-0.4268995786889254
user1,2025-11-15 18:16:41.121669,18,213,28.84,7,1462,5,1,229.0,208.85714285714286,127.91666666666667,1,-0.45922434557586983
user1,2025-11-15 20:02:58.121669,20,145,30.14,7,1607,5,1,213.0,200.875,106.28333333333333,1,-0.46184531633134523
user1,2025-11-16 06:49:13.121669,6,111,22.41,8,111,6,1,185.45870206489676,111.0,0.0,-1,-0.5440611146841089
user1,2025-11-16 07:59:45.121669,7,215,20.42,8,326,6,1,111.0,163.0,70.53333333333333,-1,-0.5406024588302113
user1,2025-11-16 08:27:30.121669,8,97,21.26,8,423,6,1,215.0,141.0,27.75,-1,-0.5513115460349504
user1,2025-11-16 12:38:48.121669,12,228,25.32,8,651,6,1,97.0,162.75,251.3,-1,-0.5518252576877009
